driver,framesize,rx_pps,rx_mbps,loss_pct
r8125_rust,64,652359,334,0.13780354334450273
r8125_rust,128,865007,886,0.37708715776623836
r8125_rust,256,702260,1438,0.18165668964499915
r8125_rust,512,456274,1869,0.00039447714465170078
r8125_rust,1024,286568,2348,0.059036985345429172
r8125_rust,1448,206332,2390,0
