driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,1500,tcp,tx,default,100,1,2.349372738990054,0,0,0,0.00,0.27,0.00,0.50,87000
r8125_rust,1500,tcp,tx,default,100,2,2.356404518443257,0,0,0,0.00,0.27,0.00,0.50,88000
r8125_rust,1500,tcp,tx,default,100,3,2.3563915591981246,0,0,0,0.01,0.33,0.00,0.58,88750
r8125_rust,1500,tcp,rx,default,100,1,2.353029075811733,0,0,0,0.01,0.34,0.00,1.61,88375
r8125_rust,1500,tcp,rx,default,100,2,2.35295293023014,0,0,0,0.01,0.47,0.00,1.68,86625
r8125_rust,1500,tcp,rx,default,100,3,2.3531004598182528,0,0,0,0.01,0.41,0.00,1.68,86375
r8125_rust,1500,tcp,bidir,default,100,1,4.612057317598713,0,0,0,0.02,0.69,0.00,2.00,87500
r8125_rust,1500,tcp,bidir,default,100,2,4.606239698939873,0,0,0,0.01,0.72,0.00,2.00,88250
r8125_rust,1500,tcp,bidir,default,100,3,4.61349713374991,0,0,0,0.01,0.64,0.00,2.00,88250
r8125_rust,1500,udp,rx,default,100,1,2.389996146341429,0,0,0.010039273208448397,0.15,1.03,0.00,1.55,87875
r8125_rust,1500,udp,rx,default,100,2,2.39022712338339,0,0.026604831030246641,0.014334462939713986,0.11,0.80,0.00,1.33,86125
r8125_rust,1500,udp,rx,default,100,3,2.3901950603613513,0,0.0123089686828822,0.0050399870660945726,0.11,0.83,0.00,1.37,86750
r8125_rust,1500,tcp,tx,gro-off,100,1,2.356349383732621,0,0,0,0.01,0.29,0.00,0.47,86875
r8125_rust,1500,tcp,tx,gro-off,100,2,2.35606451125179,0,0,0,0.00,0.32,0.00,0.54,87375
r8125_rust,1500,tcp,tx,gro-off,100,3,2.3557217102531176,0,0,0,0.00,0.31,0.00,0.54,87875
r8125_rust,1500,tcp,rx,gro-off,100,1,2.353017869204888,0,0,0,0.06,0.49,0.00,1.64,89500
r8125_rust,1500,tcp,rx,gro-off,100,2,2.3530253985932696,0,0,0,0.01,0.49,0.00,1.59,88125
r8125_rust,1500,tcp,rx,gro-off,100,3,2.3532467749178485,0,0,0,0.01,0.44,0.00,1.69,86875
r8125_rust,1500,tcp,tx,tso-off,100,1,2.3563387811994425,0,0,0,0.01,0.31,0.00,1.07,86000
r8125_rust,1500,tcp,tx,tso-off,100,2,2.3563484411870057,0,0,0,0.00,0.29,0.00,0.99,86500
r8125_rust,1500,tcp,tx,tso-off,100,3,2.3557758880654243,0,0,0,0.00,0.31,0.00,1.08,87125
r8125_rust,1500,tcp,rx,tso-off,100,1,2.3529310494264535,0,0,0,0.07,0.40,0.00,1.65,89375
r8125_rust,1500,tcp,rx,tso-off,100,2,2.353229832938782,0,0,0,0.01,0.35,0.00,1.61,88000
r8125_rust,1500,tcp,rx,tso-off,100,3,2.353018958626434,0,0,0,0.01,0.46,0.00,1.72,86375
r8125_rust,1500,tcp,tx,all-off,100,1,2.3561552286183067,0,0,0,0.01,0.29,0.00,1.03,86750
r8125_rust,1500,tcp,tx,all-off,100,2,2.3553230437320223,0,0,0,0.00,0.27,0.00,0.92,87000
r8125_rust,1500,tcp,tx,all-off,100,3,2.355790232448514,0,0,0,0.00,0.30,0.00,1.07,87250
r8125_rust,1500,tcp,rx,all-off,100,1,2.35301989975628,0,0,0,0.01,0.49,0.00,1.64,87750
r8125_rust,1500,tcp,rx,all-off,100,2,2.3532041404221964,0,0,0,0.06,0.47,0.00,1.65,88125
r8125_rust,1500,tcp,rx,all-off,100,3,2.353100695127428,0,0,0,0.01,0.35,0.00,1.61,87250
r8125_rust,1500,udp,rx,default,25,1,0.624998270674361,0,0,0.013673068477606614,0.02,0.19,0.00,0.71,86250
r8125_rust,1500,udp,rx,default,25,2,0.6249996843233917,0,0,0.012185562479214028,0.03,0.19,0.00,0.69,86750
