label,mode,irq_vector,irq_count,desc
rust_rss_default_linerate,after_hw_vlan_on,72,283917,IR-PCI-MSIX-0000:04:00.0_1-edge_enp4s0-TxRx-0_
rust_rss_default_linerate,after_hw_vlan_on,73,127980,IR-PCI-MSIX-0000:04:00.0_2-edge_enp4s0-TxRx-1_
rust_rss_default_linerate,after_hw_vlan_on,74,335366,IR-PCI-MSIX-0000:04:00.0_3-edge_enp4s0-TxRx-2_
rust_rss_default_linerate,after_hw_vlan_on,75,581115,IR-PCI-MSIX-0000:04:00.0_4-edge_enp4s0-TxRx-3_
rust_rss_default_linerate,after_hw_vlan_on,76,10867,IR-PCI-MSIX-0000:07:00.0_1-edge_nvme0q1_
rust_rss_default_linerate,after_hw_vlan_on,77,7403,IR-PCI-MSIX-0000:07:00.0_2-edge_nvme0q2_
rust_rss_default_linerate,after_hw_vlan_on,78,20357,IR-PCI-MSIX-0000:07:00.0_3-edge_nvme0q3_
rust_rss_default_linerate,after_hw_vlan_on,79,4856,IR-PCI-MSIX-0000:07:00.0_4-edge_nvme0q4_
rust_rss_default_linerate,after_hw_vlan_on,80,3460,IR-PCI-MSIX-0000:07:00.0_5-edge_nvme0q5_
rust_rss_default_linerate,after_hw_vlan_on,81,1840,IR-PCI-MSIX-0000:07:00.0_6-edge_nvme0q6_
rust_rss_default_linerate,after_hw_vlan_on,82,7559,IR-PCI-MSIX-0000:07:00.0_7-edge_nvme0q7_
rust_rss_default_linerate,after_hw_vlan_on,83,4890,IR-PCI-MSIX-0000:07:00.0_8-edge_nvme0q8_
rust_rss_default_linerate,after_hw_vlan_on,84,2477,IR-PCI-MSIX-0000:07:00.0_9-edge_nvme0q9_
rust_rss_default_linerate,after_hw_vlan_on,85,7021,IR-PCI-MSIX-0000:07:00.0_10-edge_nvme0q10_
rust_rss_default_linerate,after_hw_vlan_on,86,2087,IR-PCI-MSIX-0000:07:00.0_11-edge_nvme0q11_
rust_rss_default_linerate,after_hw_vlan_on,87,2718,IR-PCI-MSIX-0000:07:00.0_12-edge_nvme0q12_
rust_rss_default_linerate,after_hw_vlan_on,88,1680,IR-PCI-MSIX-0000:07:00.0_13-edge_nvme0q13_
rust_rss_default_linerate,after_hw_vlan_on,89,1417,IR-PCI-MSIX-0000:07:00.0_14-edge_nvme0q14_
rust_rss_default_linerate,after_hw_vlan_on,90,15065,IR-PCI-MSIX-0000:07:00.0_15-edge_nvme0q15_
rust_rss_default_linerate,after_hw_vlan_on,91,20884,IR-PCI-MSIX-0000:07:00.0_16-edge_nvme0q16_
rust_rss_default_linerate,after_hw_vlan_on,177,86,IR-PCI-MSI-0000:01:00.1_0-edge_snd_hda_intel:card0_
rust_rss_default_linerate,after_hw_vlan_on,178,219,IR-PCI-MSI-0000:01:00.6_0-edge_snd_hda_intel:card1_
rust_rss_default_linerate,after_hw_vlan_on,180,3745924,IR-PCI-MSI-0000:06:00.0_0-edge_mt7921e_
rust_rss_default_linerate,after_hw_vlan_on,181,475830,IR-PCI-MSIX-0000:01:00.0_0-edge_amdgpu_
rust_rss_default_linerate,after_hw_vlan_on,197,3090901,IR-PCI-MSIX-0000:03:00.0_16-edge_r8125_rust_
rust_rss_default_linerate,after_hw_vlan_on,202,1,IR-PCI-MSIX-0000:03:00.0_21-edge_r8125_rust_
