Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:22:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:24     all    0.87    0.00    4.04    0.00    0.00    3.34    0.00    0.00    0.00   91.76
17:22:24       0    1.03    0.00   11.34    0.00    0.00    1.03    0.00    0.00    0.00   86.60
17:22:24       1    2.06    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   87.63
17:22:24       2    2.06    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   87.63
17:22:24       3    2.02    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   87.88
17:22:24       4    2.97    0.00   13.86    0.00    0.00    0.99    0.00    0.00    0.00   82.18
17:22:24       5    1.01    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   90.91
17:22:24       6    0.00    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   95.88
17:22:24       7    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
17:22:24       8    0.00    0.00    0.00    0.00    0.00   79.41    0.00    0.00    0.00   20.59
17:22:24       9    0.00    0.00    0.00    0.00    0.00   15.96    0.00    0.00    0.00   84.04
17:22:24      10    0.00    0.00    2.17    0.00    0.00    3.26    0.00    0.00    0.00   94.57
17:22:24      11    1.06    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   95.74
17:22:24      12    2.11    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   95.79
17:22:24      13    0.00    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   97.94
17:22:24      14    0.00    0.00    0.00    0.00    0.00    5.43    0.00    0.00    0.00   94.57
17:22:24      15    0.00    0.00    0.00    0.00    0.00    6.25    0.00    0.00    0.00   93.75
17:22:24      16    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:22:24      17    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:22:24      18    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:24      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:24      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:24      21    0.00    0.00    2.13    0.00    0.00   20.21    0.00    0.00    0.00   77.66
17:22:24      22    1.20    0.00    3.61    0.00    0.00    9.64    0.00    0.00    0.00   85.54
17:22:24      23    2.20    0.00    7.69    0.00    0.00   15.38    0.00    0.00    0.00   74.73
17:22:24      24    2.22    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   94.44
17:22:24      25    1.11    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   94.44
17:22:24      26    0.00    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   95.70
17:22:24      27    2.15    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   93.55
17:22:24      28    1.06    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   94.68
17:22:24      29    2.13    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   92.55
17:22:24      30    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
17:22:24      31    0.00    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   96.88

17:22:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:25     all    0.91    0.00    4.34    0.00    0.00    2.32    0.00    0.00    0.00   92.43
17:22:25       0    2.00    0.00   15.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
17:22:25       1    1.02    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   87.76
17:22:25       2    2.02    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   85.86
17:22:25       3    1.02    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   88.78
17:22:25       4    2.06    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   85.57
17:22:25       5    2.02    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   87.88
17:22:25       6    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
17:22:25       7    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
17:22:25       8    0.00    0.00    0.00    0.00    0.00   78.79    0.00    0.00    0.00   21.21
17:22:25       9    0.00    0.00    2.13    0.00    0.00   11.70    0.00    0.00    0.00   86.17
17:22:25      10    0.00    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   98.92
17:22:25      11    3.16    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   91.58
17:22:25      12    1.06    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   95.74
17:22:25      13    0.00    0.00    1.05    0.00    0.00    1.05    0.00    0.00    0.00   97.89
17:22:25      14    0.00    0.00    1.09    0.00    0.00    6.52    0.00    0.00    0.00   92.39
17:22:25      15    0.00    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   98.92
17:22:25      16    1.03    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   88.66
17:22:25      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:25      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:25      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:25      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
