Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:22:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:04     all    3.38    0.00    4.59    0.00    0.00    3.44    0.00    0.00    0.00   88.58
17:22:04       0    2.04    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   82.65
17:22:04       1    2.06    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   85.57
17:22:04       2    2.06    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   86.60
17:22:04       3    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
17:22:04       4    3.06    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   82.65
17:22:04       5    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
17:22:04       6    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
17:22:04       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:04       8   78.22    0.00    0.00    0.00    0.00   21.78    0.00    0.00    0.00    0.00
17:22:04       9    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
17:22:04      10    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
17:22:04      11    3.85    0.00   21.15    0.00    0.00    1.92    0.00    0.00    0.00   73.08
17:22:04      12    0.00    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   97.96
17:22:04      13    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
17:22:04      14    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
17:22:04      15    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
17:22:04      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:04      18    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
17:22:04      19    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:04      21    2.20    0.00   10.99    0.00    0.00   14.29    0.00    0.00    0.00   72.53
17:22:04      22    0.00    0.00    1.09    0.00    0.00   22.83    0.00    0.00    0.00   76.09
17:22:04      23    2.20    0.00    7.69    0.00    0.00   15.38    0.00    0.00    0.00   74.73
17:22:04      24    5.10    0.00   22.45    0.00    0.00   31.63    0.00    0.00    0.00   40.82
17:22:04      25    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
17:22:04      26    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
17:22:04      27    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
17:22:04      28    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:22:04      29    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
17:22:04      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:04      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:22:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:05     all    3.91    0.00    4.20    0.00    0.00    2.42    0.00    0.00    0.00   89.48
17:22:05       0    2.06    0.00   15.46    0.00    0.00    1.03    0.00    0.00    0.00   81.44
17:22:05       1    2.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
17:22:05       2    2.06    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   83.51
