Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:22:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:34     all    1.49    0.00    5.40    0.00    0.00    6.76    0.00    0.00    0.00   86.36
17:22:34       0    2.04    0.00   13.27    0.00    0.00    1.02    0.00    0.00    0.00   83.67
17:22:34       1    2.02    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   84.85
17:22:34       2    2.04    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   84.69
17:22:34       3    1.98    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   88.12
17:22:34       4    1.98    0.00   12.87    0.00    0.00    0.99    0.00    0.00    0.00   84.16
17:22:34       5    1.98    0.00   10.89    0.00    0.00    0.99    0.00    0.00    0.00   86.14
17:22:34       6    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
17:22:34       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34       8   10.10    0.00    0.00    0.00    0.00   89.90    0.00    0.00    0.00    0.00
17:22:34       9    1.06    0.00    3.19    0.00    0.00    5.32    0.00    0.00    0.00   90.43
17:22:34      10    2.15    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   93.55
17:22:34      11    0.00    0.00    4.26    0.00    0.00    3.19    0.00    0.00    0.00   92.55
17:22:34      12    1.05    0.00    2.11    0.00    0.00    7.37    0.00    0.00    0.00   89.47
17:22:34      13    1.08    0.00    5.38    0.00    0.00    3.23    0.00    0.00    0.00   90.32
17:22:34      14    0.00    0.00    1.06    0.00    0.00    7.45    0.00    0.00    0.00   91.49
17:22:34      15    0.00    0.00    2.11    0.00    0.00    6.32    0.00    0.00    0.00   91.58
17:22:34      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:22:34      22    0.00    0.00    2.04    0.00    0.00   29.59    0.00    0.00    0.00   68.37
17:22:34      23    1.08    0.00    6.45    0.00    0.00   22.58    0.00    0.00    0.00   69.89
17:22:34      24    4.35    0.00   13.04    0.00    0.00   35.87    0.00    0.00    0.00   46.74
17:22:34      25    3.19    0.00   17.02    0.00    0.00    1.06    0.00    0.00    0.00   78.72
17:22:34      26    1.10    0.00    5.49    0.00    0.00    0.00    0.00    0.00    0.00   93.41
17:22:34      27    3.16    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   88.42
17:22:34      28    2.11    0.00    6.32    0.00    0.00    1.05    0.00    0.00    0.00   90.53
17:22:34      29    1.08    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   92.47
17:22:34      30    1.06    0.00    4.26    0.00    0.00    1.06    0.00    0.00    0.00   93.62
17:22:34      31    2.15    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   94.62

17:22:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:35     all    3.95    0.00    4.87    0.00    0.00    2.26    0.00    0.00    0.00   88.93
17:22:35       0    4.04    0.00   17.17    0.00    0.00    1.01    0.00    0.00    0.00   77.78
17:22:35       1    2.04    0.00   12.24    0.00    0.00    1.02    0.00    0.00    0.00   84.69
17:22:35       2    3.00    0.00   16.00    0.00    0.00    1.00    0.00    0.00    0.00   80.00
17:22:35       3    2.97    0.00   13.86    0.00    0.00    0.00    0.00    0.00    0.00   83.17
17:22:35       4    2.06    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   81.44
17:22:35       5    1.05    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   87.37
17:22:35       6    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
17:22:35       7    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:22:35       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
17:22:35       9    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
17:22:35      10    1.01    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   91.92
17:22:35      11    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
