Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:23:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:25     all    1.22    0.00    5.55    0.00    0.00    6.01    0.00    0.00    0.00   87.22
17:23:25       0    3.06    0.00   22.45    0.00    0.00    3.06    0.00    0.00    0.00   71.43
17:23:25       1    2.06    0.00   13.40    0.00    0.00    1.03    0.00    0.00    0.00   83.51
17:23:25       2    1.02    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   88.78
17:23:25       3    1.03    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   94.85
17:23:25       4    2.00    0.00   20.00    0.00    0.00    1.00    0.00    0.00    0.00   77.00
17:23:25       5    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
17:23:25       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:23:25       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25       8    0.00    0.00    1.15    0.00    0.00   95.40    0.00    0.00    0.00    3.45
17:23:25       9    1.04    0.00    1.04    0.00    0.00    6.25    0.00    0.00    0.00   91.67
17:23:25      10    0.00    0.00    2.11    0.00    0.00    3.16    0.00    0.00    0.00   94.74
17:23:25      11    1.11    0.00    2.22    0.00    0.00   13.33    0.00    0.00    0.00   83.33
17:23:25      12    2.13    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   92.55
17:23:25      13    0.00    0.00    2.11    0.00    0.00    5.26    0.00    0.00    0.00   92.63
17:23:25      14    1.04    0.00    1.04    0.00    0.00    6.25    0.00    0.00    0.00   91.67
17:23:25      15    2.11    0.00    2.11    0.00    0.00    3.16    0.00    0.00    0.00   92.63
17:23:25      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25      17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:23:25      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:25      22    2.38    0.00    8.33    0.00    0.00   17.86    0.00    0.00    0.00   71.43
17:23:25      23    1.19    0.00    3.57    0.00    0.00   14.29    0.00    0.00    0.00   80.95
17:23:25      24    4.35    0.00   15.22    0.00    0.00   33.70    0.00    0.00    0.00   46.74
17:23:25      25    3.19    0.00   14.89    0.00    0.00    1.06    0.00    0.00    0.00   80.85
17:23:25      26    2.17    0.00    8.70    0.00    0.00    0.00    0.00    0.00    0.00   89.13
17:23:25      27    1.10    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   84.62
17:23:25      28    1.09    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   93.48
17:23:25      29    3.23    0.00    7.53    0.00    0.00    0.00    0.00    0.00    0.00   89.25
17:23:25      30    2.17    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   92.39
17:23:25      31    1.09    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   95.65

17:23:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:26     all    1.17    0.00    5.25    0.00    0.00    3.19    0.00    0.00    0.00   90.38
17:23:26       0    4.04    0.00   16.16    0.00    0.00    2.02    0.00    0.00    0.00   77.78
17:23:26       1    2.04    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   84.69
17:23:26       2    3.09    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   82.47
17:23:26       3    2.02    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   88.89
17:23:26       4    3.09    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   80.41
17:23:26       5    1.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
17:23:26       6    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
17:23:26       7    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:23:26       8    1.10    0.00    1.10    0.00    0.00   48.35    0.00    0.00    0.00   49.45
17:23:26       9    1.02    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   92.86
17:23:26      10    1.02    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   93.88
17:23:26      11    2.08    0.00   10.42    0.00    0.00    9.38    0.00    0.00    0.00   78.12
17:23:26      12    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
17:23:26      13    1.03    0.00    4.12    0.00    0.00    2.06    0.00    0.00    0.00   92.78
17:23:26      14    0.00    0.00    0.00    0.00    0.00    2.11    0.00    0.00    0.00   97.89
17:23:26      15    0.00    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   96.91
17:23:26      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:26      22    0.00    0.00    5.33    0.00    0.00    8.00    0.00    0.00    0.00   86.67
17:23:26      23    1.28    0.00    1.28    0.00    0.00    7.69    0.00    0.00    0.00   89.74
17:23:26      24    3.57    0.00   11.90    0.00    0.00   26.19    0.00    0.00    0.00   58.33
17:23:26      25    2.08    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   83.33
17:23:26      26    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
17:23:26      27    3.06    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   84.69
17:23:26      28    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
17:23:26      29    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
17:23:26      30    0.00    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   97.89
17:23:26      31    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90

