Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:23:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:04     all    1.99    0.00    4.07    0.00    0.00    4.65    0.00    0.00    0.00   89.29
17:23:04       0    1.02    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   90.82
17:23:04       1    1.02    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   90.82
17:23:04       2    2.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
17:23:04       3    1.01    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   89.90
17:23:04       4    2.02    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   89.90
17:23:04       5    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
17:23:04       6    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
17:23:04       7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:23:04       8   38.00    0.00    0.00    0.00    0.00   62.00    0.00    0.00    0.00    0.00
17:23:04       9    0.00    0.00    2.11    0.00    0.00    4.21    0.00    0.00    0.00   93.68
17:23:04      10    1.04    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   95.83
17:23:04      11    0.00    0.00    2.04    0.00    0.00    4.08    0.00    0.00    0.00   93.88
17:23:04      12    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
17:23:04      13    1.05    0.00    0.00    0.00    0.00    4.21    0.00    0.00    0.00   94.74
17:23:04      14    0.00    0.00    0.00    0.00    0.00    3.16    0.00    0.00    0.00   96.84
17:23:04      15    0.00    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   94.85
17:23:04      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:04      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:04      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:04      21    1.05    0.00    5.26    0.00    0.00   20.00    0.00    0.00    0.00   73.68
17:23:04      22    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
17:23:04      23    1.04    0.00    6.25    0.00    0.00   19.79    0.00    0.00    0.00   72.92
17:23:04      24    3.12    0.00   17.71    0.00    0.00   27.08    0.00    0.00    0.00   52.08
17:23:04      25    1.06    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   90.43
17:23:04      26    1.03    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   92.78
17:23:04      27    1.06    0.00   10.64    0.00    0.00    0.00    0.00    0.00    0.00   88.30
17:23:04      28    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
17:23:04      29    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
17:23:04      30    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
17:23:04      31    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83

17:23:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:05     all    3.87    0.00    5.09    0.00    0.00    3.21    0.00    0.00    0.00   87.83
17:23:05       0    2.08    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   82.29
17:23:05       1    2.02    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   85.86
17:23:05       2    2.06    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   83.51
17:23:05       3    2.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
17:23:05       4    2.04    0.00   19.39    0.00    0.00    1.02    0.00    0.00    0.00   77.55
17:23:05       5    1.01    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   87.88
17:23:05       6    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
17:23:05       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
17:23:05       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      16    0.00    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   89.80
17:23:05      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      21    0.00    0.00    1.03    0.00    0.00   28.87    0.00    0.00    0.00   70.10
17:23:05      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      23    0.99    0.00    2.97    0.00    0.00   29.70    0.00    0.00    0.00   66.34
17:23:05      24    6.00    0.00   35.00    0.00    0.00   42.00    0.00    0.00    0.00   17.00
17:23:05      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      27    5.10    0.00   32.65    0.00    0.00    1.02    0.00    0.00    0.00   61.22
17:23:05      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:05      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:23:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:06     all    4.02    0.00    4.97    0.00    0.00    3.18    0.00    0.00    0.00   87.83
17:23:06       0    2.94    0.00   14.71    0.00    0.00    0.98    0.00    0.00    0.00   81.37
17:23:06       1    2.04    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   86.73
17:23:06       2    2.02    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   84.85
17:23:06       3    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
17:23:06       4    3.03    0.00   16.16    0.00    0.00    1.01    0.00    0.00    0.00   79.80
17:23:06       5    2.02    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   87.88
17:23:06       6    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
17:23:06       7    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
17:23:06       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
17:23:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      16    3.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
17:23:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      19    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
17:23:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      21    0.00    0.00    0.00    0.00    0.00   29.17    0.00    0.00    0.00   70.83
17:23:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      23    0.00    0.00    0.00    0.00    0.00   27.37    0.00    0.00    0.00   72.63
17:23:06      24    6.00    0.00   34.00    0.00    0.00   43.00    0.00    0.00    0.00   17.00
17:23:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
