driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,udp,rx,default,50,1,1.2499949896488407,0,0,0.0090167046622607241,0.02,0.13,0.00,0.19,10801
r8169,1500,udp,rx,default,50,2,1.2499928010697783,0,0,0.00917810207190751,0.09,0.16,0.00,0.19,10498
r8169,1500,udp,rx,default,50,3,1.2499956778523993,0,0,0.0096758570179253,0.03,0.17,0.00,0.15,10926
r8169,1500,udp,tx,default,75,1,1.87494998565841,0,0,0.016354937868090252,0.07,0.58,0.00,0.80,83176
r8169,1500,udp,tx,default,75,2,1.8749544380045657,0,0,0.014112341365702464,0.05,0.27,0.00,0.45,77614
r8169,1500,udp,tx,default,75,3,1.874935164552928,0,0,0.0065353593948306,0.06,0.42,0.00,1.04,83538
r8169,1500,udp,rx,default,75,1,1.8749959484234822,0,0,0.00663391651622617,0.01,0.03,0.00,0.07,1084
r8169,1500,udp,rx,default,75,2,1.8749883915555314,0,0,0.0078028774527500976,0.04,0.19,0.00,0.06,598
r8169,1500,udp,rx,default,75,3,1.8749974797199636,0,0,0.010332864467951923,0.09,0.24,0.00,0.02,463
r8169,9000,tcp,tx,default,100,1,2.4774255516168218,0,0,0,0.01,0.18,0.00,0.35,34593
r8169,9000,tcp,tx,default,100,2,2.4781932857497626,0,0,0,0.08,0.10,0.00,0.34,35051
r8169,9000,tcp,tx,default,100,3,2.476969548691948,0,0,0,0.00,0.18,0.00,0.41,34767
r8169,9000,tcp,rx,default,100,1,2.4748624292079917,0,0,0,0.00,0.18,0.00,0.17,37972
r8169,9000,tcp,rx,default,100,2,2.474459578015512,0,0,0,0.01,0.24,0.00,0.16,37628
r8169,9000,tcp,rx,default,100,3,2.4746354806858264,0,0,0,0.02,0.24,0.00,0.16,37731
r8169,9000,tcp,bidir,default,100,1,4.921838255568461,0,0,0,0.01,0.29,0.00,0.46,28319
r8169,9000,tcp,bidir,default,100,2,4.926796439460018,0,0,0,0.01,0.22,0.00,0.49,28120
r8169,9000,tcp,bidir,default,100,3,0.0007863316444238804,0,0,0,0.00,0.02,0.00,0.00,8
r8169,9000,tcp6,tx,default,100,1,2.471996458594071,0,0,0,0.08,0.54,0.00,0.44,34857
r8169,9000,tcp6,tx,default,100,2,2.4718737497523846,0,0,0,0.01,0.51,0.00,0.46,34727
r8169,9000,tcp6,tx,default,100,3,2.471480907260982,0,0,0,0.00,0.06,0.00,0.41,34724
r8169,9000,tcp6,rx,default,100,1,2.469497986550339,0,0,0,0.01,0.20,0.00,0.20,36887
r8169,9000,tcp6,rx,default,100,2,2.4690822892786897,0,0,0,0.02,0.20,0.00,0.15,37236
r8169,9000,tcp6,rx,default,100,3,2.4692195168652713,0,0,0,0.01,0.18,0.00,0.19,37625
r8169,9000,udp,tx,default,100,1,2.391032560785653,0,0,0.0026551075218783316,0.13,0.63,0.00,0.96,119269
r8169,9000,udp,tx,default,100,2,2.3910078299182143,0,0,0.0030519540472387441,0.12,0.57,0.00,0.55,120394
r8169,9000,udp,tx,default,100,3,2.391063109763834,0,0,0.0042335935262148156,0.20,0.63,0.00,0.97,120347
r8169,9000,udp,rx,default,100,1,2.390932096035867,0,0,0.016838144656377906,0.08,0.72,0.00,0.07,3
