driver,framesize,dir,pps,mbps,loss_pct
r8169,64,tx,1055524,540,1.4181809225545976
r8169,64,rx,809377,414,0
r8169,128,tx,1074396,1100,2.403868700892176
r8169,128,rx,1052936,1078,0.27076936633359516
r8169,256,tx,958754,1964,0.0010636456349860162
r8169,256,rx,968485,1983,0.0049345409400692779
r8169,512,tx,540636,2215,0.001516328266577906
r8169,512,rx,540292,2213,0
r8169,1024,tx,286687,2349,0
r8169,1024,rx,286535,2347,0
r8169,1448,tx,206394,2391,0
r8169,1448,rx,206314,2390,0
