driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,irq_per_s
r8169,1500,udp,rx,default,50,1,1.2499963135290084,0,0,0.010743322981895734,0.02,0.06,0.00,0.09,10632
r8169,1500,udp,rx,default,50,2,1.2499911472659408,0,0,0.010699889594318713,0.03,0.09,0.00,0.16,10578
r8169,1500,udp,rx,default,50,3,1.249997342555274,0,0,0.0096558298725042,0.02,0.14,0.00,0.17,10550
r8169,1500,udp,tx,default,75,1,1.87494470498146,0,0,0.00791989080067996,0.06,0.28,0.00,0.48,77680
r8169,1500,udp,tx,default,75,2,1.8749506886590293,0,0,0.00593586997888098,0.04,0.20,0.00,0.52,78651
r8169,1500,udp,tx,default,75,3,1.8749633866147166,0,0,0.00673332509685876,0.12,0.67,0.00,1.11,84035
r8169,1500,udp,rx,default,75,1,1.8749962217205516,0,0,0.00655215448348643,0.13,0.29,0.00,0.03,495
r8169,1500,udp,rx,default,75,2,1.8749880319532863,0,0,0.00710139195780855,0.00,0.02,0.00,0.06,1065
r8169,1500,udp,rx,default,75,3,1.8749970082249443,0,0,0.0068457220683973028,0.02,0.06,0.00,0.03,1004
r8169,9000,tcp,tx,default,100,1,2.476570705086728,0,0,0,0.00,0.10,0.00,0.12,34980
r8169,9000,tcp,tx,default,100,2,2.476840665902046,0,0,0,0.02,0.36,0.00,0.28,35156
r8169,9000,tcp,tx,default,100,3,2.4768480951861402,0,0,0,0.01,0.56,0.00,0.44,35219
r8169,9000,tcp,rx,default,100,1,2.4745937264052786,0,0,0,0.01,0.21,0.00,0.17,37491
r8169,9000,tcp,rx,default,100,2,2.474606262141244,0,0,0,0.01,0.25,0.00,0.20,36969
r8169,9000,tcp,rx,default,100,3,2.474977613493271,0,0,0,0.07,0.17,0.00,0.09,36140
r8169,9000,tcp,bidir,default,100,1,4.925899913672334,0,0,0,0.02,0.66,0.00,0.24,28219
r8169,9000,tcp,bidir,default,100,2,4.926507480403791,0,0,0,0.00,0.23,0.00,0.46,28102
r8169,9000,tcp,bidir,default,100,3,4.926699170703006,0,0,0,0.01,0.23,0.00,0.52,28583
r8169,9000,tcp6,tx,default,100,1,2.471390230851848,0,0,0,0.03,0.64,0.00,0.48,34378
r8169,9000,tcp6,tx,default,100,2,2.471780455375457,0,0,0,0.00,0.06,0.00,0.41,34680
r8169,9000,tcp6,tx,default,100,3,2.471951603430694,0,0,0,0.00,0.09,0.00,0.40,34918
r8169,9000,tcp6,rx,default,100,1,2.468955862658719,0,0,0,0.00,0.20,0.00,0.16,37285
r8169,9000,tcp6,rx,default,100,2,2.469341622269241,0,0,0,0.07,0.21,0.00,0.18,37054
r8169,9000,tcp6,rx,default,100,3,2.4691001879774426,0,0,0,0.01,0.20,0.00,0.20,36940
r8169,9000,udp,tx,default,100,1,2.3910255614256437,0,0.00060557834548729075,0.01252577866660669,0.11,0.54,0.00,0.92,120108
r8169,9000,udp,tx,default,100,2,2.391021596717299,0,0,0.0059039088794355325,0.10,0.51,0.00,0.79,119525
r8169,9000,udp,tx,default,100,3,2.391048579215638,0,0.0002422011238132145,0.0020481863135877309,0.13,0.54,0.00,0.95,120579
r8169,9000,udp,rx,default,100,1,2.391049759638789,0,0,0.014857522321552722,0.09,0.73,0.00,0.06,2
r8169,9000,udp,rx,default,100,2,2.3910852351103915,0,0,0.006340806287094,0.08,0.59,0.00,0.03,3
r8169,9000,udp,rx,default,100,3,2.3910365028568146,0,0,0.0071863912371691882,0.21,0.75,0.00,0.08,3
r8169,9000,tcp,tx,gro-off,100,1,2.477165612860345,0,0,0,0.01,0.51,0.00,0.14,35073
