driver,mtu,test,obs,p50_us,p99_us,p999_us,max_us
r8169,1500,sockperf-rtt-idle,235618,48.250,58.509,63.759,0
r8169,1500,sockperf-rtt-loaded,14694,764.069,973.411,977.178,0
r8169,1500,icmp-rtt-loaded,6000,777.0,949.0,971.0,1060.0
r8169,9000,sockperf-rtt-idle,235691,48.761,58.529,64.300,0
r8169,9000,sockperf-rtt-loaded,17159,746.319,1126.853,1144.887,0
r8169,9000,icmp-rtt-loaded,6000,627.0,788.0,819.0,847.0
