driver,framesize,dir,pps,mbps,loss_pct
r8169,64,tx,1097942,562,0
r8169,64,rx,2404223,1231,21.555996756925044
r8169,128,tx,1087421,1114,0
r8169,128,rx,1611410,1650,5.48277936547361
r8169,256,tx,880556,1804,0
r8169,256,rx,971056,1989,0
r8169,512,tx,540953,2216,0
r8169,512,rx,541084,2216,0
r8169,1024,tx,286874,2350,0
r8169,1024,rx,286939,2351,0
r8169,1448,tx,206588,2393,0
r8169,1448,rx,206636,2393,0
