driver,mtu,test,obs,p50_us,p99_us,p999_us,max_us
r8169,1500,icmp-rtt-idle,10000,35.0,37.0,59.0,77.0
r8169,1500,icmp-rtt-loaded,10000,668.0,772.0,783.0,794.0
r8169,9000,icmp-rtt-idle,10000,35.0,37.0,58.0,72.0
r8169,9000,icmp-rtt-loaded,10000,441.0,554.0,563.0,580.0
