driver,framesize,rx_pps,rx_mbps,loss_pct
r8125_rust,64,913294,468,66.1419622982787
r8125_rust,128,913060,935,75.434791035953467
r8125_rust,256,710767,1456,43.0070256662454
r8125_rust,512,489778,2006,4.6142369991474848
r8125_rust,1024,235742,1931,0
r8125_rust,1448,195632,2266,0
