driver,mtu,test,obs,p50_us,p99_us,p999_us,max_us
r8125_rust,1500,icmp-rtt-idle,10000,34.0,36.0,55.0,73.0
r8125_rust,1500,icmp-rtt-loaded,10000,1420.0,1560.0,1650.0,1720.0
r8125_rust,9000,icmp-rtt-idle,10000,34.0,37.0,52.0,186.0
r8125_rust,9000,icmp-rtt-loaded,10000,1620.0,2020.0,2040.0,2390.0
