driver,mtu,test,obs,p50_us,p99_us,p999_us,max_us
r8125_rust,1500,icmp-rtt-idle,10000,34.0,37.0,54.0,67.0
r8125_rust,1500,icmp-rtt-loaded,10000,1480.0,1650.0,1680.0,1690.0
r8125_rust,9000,icmp-rtt-idle,10000,34.0,36.0,53.0,71.0
r8125_rust,9000,icmp-rtt-loaded,10000,1620.0,1830.0,1990.0,2160.0
