driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,1500,tcp,tx,default,100,1,2.3566351788615947,0,0,0,0.00,0.32,0.00,0.54,87625
r8125_rust,1500,tcp,tx,default,100,2,2.3560025506400746,0,0,0,0.02,0.32,0.00,0.55,87750
r8125_rust,1500,tcp,tx,default,100,3,2.3557391411034354,0,0,0,0.01,0.32,0.00,0.51,88250
r8125_rust,1500,tcp,rx,default,100,1,2.353039516326365,0,0,0,0.01,0.39,0.00,1.22,88250
r8125_rust,1500,tcp,rx,default,100,2,2.3531649844935156,0,0,0,0.02,0.41,0.00,1.35,87000
r8125_rust,1500,tcp,rx,default,100,3,2.352999751811566,0,0,0,0.01,0.35,0.00,1.30,86500
r8125_rust,1500,tcp,bidir,default,100,1,4.636321576751192,0,0,0,0.01,0.63,0.00,1.66,88000
r8125_rust,1500,tcp,bidir,default,100,2,4.627924100673716,0,0,0,0.06,0.70,0.00,1.74,88375
r8125_rust,1500,tcp,bidir,default,100,3,4.632792106873514,0,0,0,0.02,0.64,0.00,1.67,88250
r8125_rust,1500,udp,rx,default,100,1,2.390351578128484,0,0,0.010179743511366541,0.11,0.80,0.00,0.98,86625
r8125_rust,1500,udp,rx,default,100,2,2.3901524273366976,0,0,0.0046905352818907347,0.11,0.97,0.00,1.15,86875
r8125_rust,1500,udp,rx,default,100,3,2.390306051753719,0,0,0.00512397122458939,0.09,0.79,0.00,0.99,87375
r8125_rust,1500,tcp,tx,gro-off,100,1,2.356440094210626,0,0,0,0.00,0.32,0.00,0.58,87250
r8125_rust,1500,tcp,tx,gro-off,100,2,2.356344907095863,0,0,0,0.05,0.32,0.00,0.53,88250
r8125_rust,1500,tcp,tx,gro-off,100,3,2.3559592037085793,0,0,0,0.00,0.32,0.00,0.55,87500
r8125_rust,1500,tcp,rx,gro-off,100,1,2.35303354622365,0,0,0,0.01,0.46,0.00,1.38,86500
r8125_rust,1500,tcp,rx,gro-off,100,2,2.353245598383643,0,0,0,0.02,0.40,0.00,1.21,86875
